base_asset,mexc_symbol,status
PACK,PACKUSDT,ok:760 candles
PEACE,PEACEUSDT,ok:0 candles
PEIPEI,PEIPEIUSDT,ok:736 candles
PENGUIN,PENGUINUSDT,ok:0 candles
PEOPLE,PEOPLEUSDT,ok:1095 candles
PEP,PEPUSDT,ok:0 candles
PEPE,PEPEUSDT,ok:1095 candles
PEPECOIN,PEPECOINUSDT,ok:909 candles
PEPPER,PEPPERUSDT,ok:0 candles
PEPU,PEPUUSDT,ok:0 candles
PHNIX,PHNIXUSDT,ok:0 candles
PHT,PHTUSDT,ok:0 candles
PIGGY,PIGGYUSDT,ok:0 candles
PIPPIN,PIPPINUSDT,ok:0 candles
PIT,PITUSDT,ok:1095 candles
PIXEL,PIXELUSDT,ok:853 candles
PNUT,PNUTUSDT,ok:0 candles
POD,PODUSDT,ok:0 candles
PONKE,PONKEUSDT,ok:909 candles
POPCAT,POPCATUSDT,ok:794 candles
PORK,PORKUSDT,ok:873 candles
PRO,PROUSDT,ok:898 candles
PUNCH,PUNCHUSDT,ok:0 candles
PURR,PURRUSDT,ok:0 candles
PUSS,PUSSUSDT,ok:621 candles
PX,PXUSDT,ok:0 candles
RATS,RATSUSDT,ok:914 candles
RBT,RBTUSDT,ok:766 candles
REDO,REDOUSDT,ok:664 candles
RKC,RKCUSDT,ok:0 candles
ROSE,ROSEUSDT,ok:1095 candles
RWA,RWAUSDT,ok:0 candles
S,SUSDT,ok:0 candles
SAFE,SAFEUSDT,ok:787 candles
SAMO,SAMOUSDT,ok:1095 candles
SATO,SATOUSDT,ok:0 candles
SBTC,SBTCUSDT,ok:0 candles
SC,SCUSDT,ok:1095 candles
SHIB,SHIBUSDT,ok:1095 candles
SHIRO,SHIROUSDT,ok:0 candles
SIREN,SIRENUSDT,ok:0 candles
SNEK,SNEKUSDT,ok:1095 candles
SNS,SNSUSDT,ok:0 candles
SOH,SOHUSDT,ok:0 candles
SONIC,SONICUSDT,ok:0 candles
SPELL,SPELLUSDT,ok:1095 candles
SRC,SRCUSDT,ok:738 candles
SUNCAT,SUNCATUSDT,ok:665 candles
SUNDOG,SUNDOGUSDT,ok:674 candles
TAP,TAPUSDT,ok:606 candles
TCAPY,TCAPYUSDT,ok:0 candles
TESTICLE,TESTICLEUSDT,ok:0 candles
THE,THEUSDT,ok:0 candles
TIT,TITUSDT,ok:313 candles (manually fetched with narrower window -- full request returned empty due to MEXC API quirk for thinly-traded symbols)
TMOON,TMOONUSDT,ok:0 candles
TONNY,TONNYUSDT,ok:0 candles
TOP,TOPUSDT,ok:1095 candles
TOSHI,TOSHIUSDT,ok:0 candles
TREAT,TREATUSDT,ok:0 candles
TREE,TREEUSDT,ok:0 candles
TRIPLET,TRIPLETUSDT,ok:0 candles
TROLL,TROLLUSDT,ok:887 candles
TRUMP,TRUMPUSDT,ok:0 candles
TRUST,TRUSTUSDT,ok:0 candles
TRUTH,TRUTHUSDT,ok:0 candles
TST,TSTUSDT,ok:0 candles
TSUKA,TSUKAUSDT,ok:1095 candles
TURBO,TURBOUSDT,ok:1095 candles
TURTLE,TURTLEUSDT,ok:0 candles
