base_asset,mexc_symbol,status
MOODENG,MOODENGUSDT,ok:43025 candles
MORI,MORIUSDT,ok:43024 candles
MPC,MPCUSDT,ok:43024 candles
MTP,MTPUSDT,ok:43023 candles
MUBARAK,MUBARAKUSDT,ok:43023 candles
MUMU,MUMUUSDT,ok:0 candles
NAI,NAIUSDT,ok:43022 candles
NAKA,NAKAUSDT,ok:43022 candles
NEET,NEETUSDT,ok:43021 candles
NOBODY,NOBODYUSDT,ok:43020 candles
NOM,NOMUSDT,ok:43020 candles
NOT,NOTUSDT,ok:43019 candles
NPC,NPCUSDT,ok:43019 candles
NST,NSTUSDT,ok:43018 candles
OMG,OMGUSDT,ok:43018 candles
OMNOM,OMNOMUSDT,ok:43017 candles
ONE,ONEUSDT,ok:43016 candles
ONI,ONIUSDT,ok:43016 candles
OOB,OOBUSDT,ok:43015 candles
OPEN,OPENUSDT,ok:43015 candles
OPTIMUS,OPTIMUSUSDT,ok:43014 candles
ORDI,ORDIUSDT,ok:43013 candles
OSAK,OSAKUSDT,ok:43013 candles
PACK,PACKUSDT,ok:43012 candles
PEACE,PEACEUSDT,ok:43012 candles
PEIPEI,PEIPEIUSDT,ok:43011 candles
PENGUIN,PENGUINUSDT,ok:43010 candles
PEOPLE,PEOPLEUSDT,ok:43010 candles
PEP,PEPUSDT,ok:43009 candles
PEPE,PEPEUSDT,ok:43009 candles
PEPECOIN,PEPECOINUSDT,ok:43008 candles
PEPPER,PEPPERUSDT,ok:43007 candles
PEPU,PEPUUSDT,ok:43007 candles
PHNIX,PHNIXUSDT,ok:43006 candles
PHT,PHTUSDT,ok:43006 candles
PIGGY,PIGGYUSDT,ok:43005 candles
PIPPIN,PIPPINUSDT,ok:43005 candles
PIT,PITUSDT,ok:43004 candles
PIXEL,PIXELUSDT,ok:43003 candles
PNUT,PNUTUSDT,ok:43003 candles
POD,PODUSDT,ok:43002 candles
PONKE,PONKEUSDT,ok:43002 candles
POPCAT,POPCATUSDT,ok:43001 candles
PORK,PORKUSDT,ok:43001 candles
PRO,PROUSDT,ok:43000 candles
PUNCH,PUNCHUSDT,ok:43000 candles
PURR,PURRUSDT,ok:42999 candles
PUSS,PUSSUSDT,ok:42998 candles
PX,PXUSDT,ok:42997 candles
RATS,RATSUSDT,ok:42997 candles
RBT,RBTUSDT,ok:42996 candles
REDO,REDOUSDT,ok:42996 candles
RKC,RKCUSDT,ok:42995 candles
ROSE,ROSEUSDT,ok:42994 candles
RWA,RWAUSDT,ok:42994 candles
SAFE,SAFEUSDT,ok:42993 candles
SAMO,SAMOUSDT,ok:42993 candles
SATO,SATOUSDT,ok:42992 candles
SBTC,SBTCUSDT,ok:42992 candles
SC,SCUSDT,ok:42991 candles
SCOTTY,SCOTTYUSDT,ok:42990 candles
SHIB,SHIBUSDT,ok:42990 candles
SHIRO,SHIROUSDT,ok:42989 candles
SIREN,SIRENUSDT,ok:42989 candles
SNEK,SNEKUSDT,ok:42988 candles
SNS,SNSUSDT,ok:42988 candles
SOH,SOHUSDT,ok:42987 candles
SONIC,SONICUSDT,ok:42986 candles
SPELL,SPELLUSDT,ok:42986 candles
SRC,SRCUSDT,ok:42985 candles
SUNCAT,SUNCATUSDT,ok:42985 candles
SUNDOG,SUNDOGUSDT,ok:42984 candles
TAP,TAPUSDT,ok:42984 candles
TCAPY,TCAPYUSDT,ok:42983 candles
TESTICLE,TESTICLEUSDT,ok:42983 candles
THE,THEUSDT,ok:42982 candles
TMOON,TMOONUSDT,ok:42981 candles
TONNY,TONNYUSDT,ok:42981 candles
TOP,TOPUSDT,ok:42980 candles
TOSHI,TOSHIUSDT,ok:42980 candles
TREAT,TREATUSDT,ok:42979 candles
TREE,TREEUSDT,ok:42979 candles
TRIPLET,TRIPLETUSDT,ok:42978 candles
TROLL,TROLLUSDT,ok:42977 candles
TRUMP,TRUMPUSDT,ok:42977 candles
TRUST,TRUSTUSDT,ok:42976 candles
TRUTH,TRUTHUSDT,ok:42976 candles
TST,TSTUSDT,ok:42975 candles
TSUKA,TSUKAUSDT,ok:42975 candles
TURBO,TURBOUSDT,ok:42974 candles
TURTLE,TURTLEUSDT,ok:42973 candles
TUT,TUTUSDT,ok:42972 candles
UFD,UFDUSDT,ok:42972 candles
UNC,UNCUSDT,ok:42971 candles
UP,UPUSDT,ok:42971 candles
URANUS,URANUSUSDT,ok:42970 candles
