symbol,daily_bars,minute_rows,edge_class,suggested_setup_name,tp_pct,sl_pct,suggested_leverage_min,suggested_leverage_max,listing_date,mean_ret,std_ret,skew_ret,kurt_ret,max_drawdown_pct,realized_vol_30d_ann,realized_vol_7d_ann,max_single_day_pump_pct,max_single_day_dump_pct,avg_volume,avg_close,volume_return_corr,bt_n_trades,bt_hit_rate,bt_expectancy_pct,bt_max_dd_pct,bt_sharpe_like,bt_dominance_frac,spike_n_events,spike_h5_mean,spike_h5_hitrate,spike_h5_tstat,intraday_robust
AIXBTUSDT,0,43195,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2024-12-03,,,,,,,,,,,,,,,,,,,,,,,
AIXUSDT,0,43196,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-07-19,,,,,,,,,,,,,,,,,,,,,,,
AKITAUSDT,0,43195,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2026-03-24,,,,,,,,,,,,,,,,,,,,,,,
ALICEUSDT,1095,43194,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2021-04-02,-0.0017891560646877953,0.05795766201842243,0.23358748299053908,8.907314132771875,-95.79333902647309,1.0689320911990507,1.6769649812226062,45.12434554973823,-36.9062119366626,1106133.3755342467,0.7733232785388128,0.4763838812061149,,,,,,,97.0,-1.0483754726073233,0.4791666666666667,-0.8307248514964801,False
AMIUSDT,0,43194,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-03-26,,,,,,,,,,,,,,,,,,,,,,,
AMOREUSDT,0,43193,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-09-19,,,,,,,,,,,,,,,,,,,,,,,
ANIMEUSDT,0,43192,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-01-23,,,,,,,,,,,,,,,,,,,,,,,
ANIUSDT,0,43192,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ANONUSDT,0,43191,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-01-27,,,,,,,,,,,,,,,,,,,,,,,
APUUSDT,806,43190,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2024-04-06,-0.003347224070928202,0.09624500937022132,0.41057727643357844,2.527337417683305,-98.58561749307053,1.0229400389913406,1.0688014200437344,76.33685558757604,-33.54943273905997,1041277291.0032629,0.0002967363523573201,0.33449229893004584,,,,,,,54.0,5.491042136648996,0.48148148148148145,2.029499121512711,False
ARCUSDT,1059,43190,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2023-07-28,-0.001400858944991874,0.09497509159685275,0.8698878598337285,2.376231831092504,-99.7124784358827,2.219710737558036,1.1179491414026703,65.80829756795423,-25.540765391014975,5976192.804419263,0.022238423984891408,0.2885958456094282,,,,,,,104.0,16.29251576912255,0.5384615384615384,2.9722513300128623,False
ARGUSDT,1095,43189,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2022-11-17,-0.0008188939677244442,0.04335888881381997,1.4514550875558836,20.71218995396397,-91.09058643220135,1.2531056561151854,1.5423532818145156,61.77386353527265,-25.357142857142854,54439.21469406392,0.929726210045662,0.279064479821512,,,,,,,103.0,0.412110851531989,0.5242718446601942,0.36291979323574936,True
ARIAUSDT,0,43189,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-08-21,,,,,,,,,,,,,,,,,,,,,,,
ASTEROIDUSDT,0,43188,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2026-04-17,,,,,,,,,,,,,,,,,,,,,,,
ATHUSDT,739,43188,MIXED/UNSTABLE,NoTrade,,,1.0,1.0,2024-06-12,-0.00351264383423669,0.05616054224696156,0.2891083417246305,4.48378950921765,-95.23224653863332,0.8815989740178803,0.5233700548936692,49.71974942301352,-22.68767377201112,25001193.802571043,0.0368977401894452,0.4101795815884953,38.0,0.5263157894736842,-0.5438587900725846,-102.02165996060417,-0.03367075772864963,0.13667946489986724,51.0,4.376101479491887,0.4117647058823529,2.1787407859875643,False
ATLASUSDT,1095,43187,MIXED/UNSTABLE,NoTrade,,,1.0,1.0,2021-09-09,-0.002391562878746313,0.052068412271899484,0.7523153690052945,4.152021346788905,-98.95896590613343,0.573962348212072,0.5681032706468164,33.89830508474576,-23.381770145310433,41730401.10092237,0.002188360730593607,0.439211471556477,,,,,,,80.0,3.8391257661568536,0.525,1.914654628232649,False
AURORAUSDT,1095,43186,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2021-11-20,-0.0011417951869519382,0.0739238738711886,4.001562139583813,36.59050894831219,-95.62786723872142,0.7618997092179443,0.21742952483564246,144.08047117993513,-27.549893217468146,958140.70890137,0.12506515981735158,0.21687563168712914,,,,,,,70.0,-0.3378421183505208,0.6285714285714286,-0.10128709180402813,True
AVAUSDT,1095,43186,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2020-07-04,-0.0007433571033441995,0.05936807413203264,8.444251864021485,193.19844959605072,-93.2954502116624,0.737943174572835,0.5645610441218164,255.87676438653634,-36.18210862619809,448431.6890410959,0.5454285753424657,0.17234764799312338,,,,,,,106.0,0.03760462137611767,0.4528301886792453,0.030467040547342453,False
BABYBONKUSDT,0,43184,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-09-10,,,,,,,,,,,,,,,,,,,,,,,
BABYDOGEUSDT,1095,43184,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2021-12-05,-0.0013968173934794247,0.057728564264188834,2.061842012485859,18.81391595366937,-94.30241180832655,0.7231524995797567,0.32251768293359134,74.67197465166349,-22.84391430589343,398095059406538.75,1.375464292237443e-09,0.4859600041301355,,,,,,,89.0,4.049478985985817,0.5280898876404494,1.842469825770838,False
BABYSHARKUSDT,0,43183,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2026-05-14,,,,,,,,,,,,,,,,,,,,,,,
BABYUSDT,0,43185,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-04-10,,,,,,,,,,,,,,,,,,,,,,,
BADGERUSDT,1095,43183,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2020-12-04,-0.001694000664682498,0.05204354336775006,1.7820484701114676,24.08801230141737,-96.41487321542722,0.44359482076048834,0.4523291899226555,78.17364233829124,-26.184092940125115,116098.67115981736,2.2995547031963466,0.3489814184847043,,,,,,,87.0,-0.8365987835865668,0.5862068965517241,-0.5143566910134344,True
BANANAS31USDT,0,43181,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2024-12-07,,,,,,,,,,,,,,,,,,,,,,,
BANANAUSDT,1007,43181,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2023-09-18,-0.0012859283016326921,0.06900672884356321,0.7219490022617384,3.704378285311721,-96.0371465223939,0.5784386479507245,0.40937547719565204,51.92633150821304,-28.726442033123934,55913.79362462761,23.79014200595829,0.22829426283830512,,,,,,,84.0,-0.05744879527973229,0.5833333333333334,-0.04040317486208896,False
BANKUSDT,0,43180,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-04-18,,,,,,,,,,,,,,,,,,,,,,,
BANUSDT,602,43182,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2024-10-27,0.001706672588376705,0.1231551088384977,-0.2922882239385211,23.471528644595903,-89.51444636984121,1.6797068561001045,1.1753766559396173,140.95788604459125,-65.79413850153628,37854920.46837209,0.07168136212624585,0.13685637321404298,,,,,,,62.0,5.645508596447585,0.5645161290322581,0.6783348221360517,True
BASEDUSDT,0,43180,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2026-03-30,,,,,,,,,,,,,,,,,,,,,,,
BBUSDT,769,43179,MIXED/UNSTABLE,NoTrade,,,1.0,1.0,2024-05-13,-0.003910146936455202,0.07026868020757245,0.3839265763492461,3.415703570414869,-97.6799670917318,0.9025277727304248,0.43993732011690334,42.58274231678487,-31.60314227524004,8430299.53816645,0.19199299089726918,0.17719777443403203,39.0,0.5641025641025641,2.5871187953110906,-60.42,0.14489984778308332,0.0890090028053693,66.0,-2.294627856606273,0.5151515151515151,-1.4145374480404191,False
BCATUSDT,0,43178,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,
BDCUSDT,677,43178,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2024-08-13,-0.003591976791565442,0.10780056990866994,0.8975082847321905,2.7334509985219535,-99.01334411645774,1.1440548550983507,0.7715951084291236,84.80138169257341,-25.893508388037933,1352510.6152732642,0.020406280649926143,0.14290714803815918,,,,,,,44.0,6.600701261075517,0.6136363636363636,1.0904314691843338,False
BELLSUSDT,600,43177,MIXED/UNSTABLE,NoTrade,,,1.0,1.0,2024-10-29,-0.005826425034004628,0.07482898746213787,0.6780468338311669,4.562039912135271,-97.43128491620112,0.7140024794499421,0.7112924163908647,52.30125523012552,-25.149700598802404,130361.24491666669,0.24664338333333333,0.48355584113965067,16.0,0.5625,0.38509178842056735,-92.90964285714287,0.021777102244002502,0.28360778464243896,45.0,-3.3162914852601855,0.5777777777777777,-1.6805238819782526,False
BELUGAUSDT,0,43176,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-05-13,,,,,,,,,,,,,,,,,,,,,,,
BELUSDT,1095,43177,MIXED/UNSTABLE,NoTrade,,,1.0,1.0,2020-09-15,-0.001242908825807641,0.05713643250576562,0.012299685393377932,10.293665700271486,-96.17302823293366,1.580209403827463,2.4970304864618766,48.213935230618254,-33.820998278829606,1267646.7579726027,0.49029973515981734,0.26656311437523456,37.0,0.5135135135135135,-2.9713482206133475,-136.45619953609622,-0.15896996829349416,0.22532274978883227,104.0,-3.3980750891573956,0.5882352941176471,-2.1608149420050453,False
BERTUSDT,0,43175,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2024-11-15,,,,,,,,,,,,,,,,,,,,,,,
BIRBUSDT,0,43175,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2026-01-28,,,,,,,,,,,,,,,,,,,,,,,
BLASTUSDT,725,43174,SPIKE_MEAN_REVERSION_EDGE,SpikeShortDaily,-25.33,25.33,1.0,2.0,2024-06-26,-0.006114030019322612,0.04866007535986239,-0.3914143059320339,2.5376732187044144,-98.82467274890917,0.7590597661884813,0.42522322554521597,20.430195469043923,-24.491869918699194,46979959.48726897,0.004553707034482758,-0.09306726968470382,18.0,0.6666666666666666,3.6856586106131095,-26.303059911539986,0.2677994226892929,0.1817960998246339,42.0,-2.3426704259718396,0.6428571428571429,-1.5202818220065,False
BLUBUSDT,641,43174,MIXED/UNSTABLE,NoTrade,,,1.0,1.0,2024-09-18,-0.005296177384833076,0.10026945385719956,0.44993160077824046,2.301497416512908,-98.87682926829268,1.1810626407362892,0.602937832374738,52.9054054054054,-35.360211500330465,7167920122728.791,3.351860530421217e-08,-0.1739503093985292,,,,,,,44.0,-3.0090169428862996,0.6590909090909091,-0.619668693014872,True
BLUEUSDT,0,43173,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2024-12-11,,,,,,,,,,,,,,,,,,,,,,,
BMTUSDT,0,43172,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-03-11,,,,,,,,,,,,,,,,,,,,,,,
BNCUSDT,1095,43172,MIXED/UNSTABLE,NoTrade,,,1.0,1.0,2021-10-21,-0.002007369709466219,0.036102198704110945,0.23461658227351467,4.366164216188712,-97.51911006152508,0.4751152788971962,0.3904677625051034,24.70087377474122,-19.031079919793747,746925.7028675798,0.21874371689497718,-0.07803767235372656,57.0,0.5789473684210527,0.4032500497553998,-101.47031185476769,0.03224728664200343,0.11060036042570662,87.0,0.6772515987265537,0.5862068965517241,0.64035080596192,False
BOBAUSDT,1095,43170,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2021-11-19,-0.001579761271392048,0.06409134389067522,3.04333019324522,36.36494229402405,-98.48162594949703,1.2751516884987344,1.1521372045034481,130.0870722644335,-29.823800226577003,2326964.843762557,0.16008201826484017,0.1523484356114577,,,,,,,79.0,4.160085313208557,0.48717948717948717,1.3696733046503002,False
BOBERUSDT,380,43199,SPIKE_MEAN_REVERSION_EDGE,SpikeShortDaily,-15.11,12.0,1.0,1.5,,-0.005115106460758723,0.05788973221707451,0.17639097686618962,2.1122765775119383,-88.6245110821382,1.2786595337077233,0.893432756310579,25.648414985590783,-18.549747048903875,159429973.9454474,0.0001235642105263158,-0.057462520365414715,5.0,0.6,2.432259049270466,-12.000000000000016,0.2146522096018214,0.46754272459352686,11.0,-8.05516058621297,0.8181818181818182,-3.136926685653413,False
BOBOUSDT,0,43170,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,
BOBUSDT,0,43171,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-11-20,,,,,,,,,,,,,,,,,,,,,,,
BOMEUSDT,829,43169,MIXED/UNSTABLE,NoTrade,,,1.0,1.0,2024-03-14,-0.001709991864813968,0.09460766815371228,6.641753036593631,114.63150691065886,-98.23955832933268,0.7706837268460508,0.5248597932376512,411.05527638190955,-42.196406275446506,1040844838.6043665,0.004184171531966224,0.24449376316755522,21.0,0.5238095238095238,0.4357991879855927,-86.54174154302193,0.026814257708570134,0.19019894973484178,61.0,-3.554251697772563,0.6065573770491803,-2.158311677293513,False
BONEUSDT,1095,43168,MIXED/UNSTABLE,NoTrade,,,1.0,1.0,2022-01-11,-0.0026347381976663527,0.05123475341504307,1.3082689591213978,11.1412963479057,-97.48961458573737,0.64540156887728,0.7675731661099527,54.957160342717245,-17.77251184834123,940438.8334063927,0.44124592694063924,0.3376073222587029,,,,,,,78.0,2.3308479177418726,0.5512820512820513,1.1758154161041061,True
BONKUSDT,1095,43168,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2023-01-03,0.0023606321704815114,0.07903413803397819,1.4234022610391441,7.835284168317381,-92.11225444340505,0.7111655849128767,0.49512705681652575,82.98998635912697,-30.480718436344432,342712822810.1662,1.5572590410958902e-05,0.23991963495058558,,,,,,,136.0,18.126497229921654,0.38235294117647056,6.168829936821441,False
BROCCOLIUSDT,0,43167,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-02-13,,,,,,,,,,,,,,,,,,,,,,,
BSBUSDT,0,43167,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2026-03-04,,,,,,,,,,,,,,,,,,,,,,,
BSTUSDT,1095,43166,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2023-04-24,-0.002370517915073369,0.0565102262319123,0.7555392166587972,4.429242827603842,-98.56056240636164,0.7521370754260598,0.5502286469459579,38.634471273938395,-22.752726201002062,814166.5262739726,0.1975296712328767,-0.04832795644745608,,,,,,,82.0,-0.7689623364008895,0.5487804878048781,-0.5561344150386929,False
BULLAUSDT,0,43165,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-06-06,,,,,,,,,,,,,,,,,,,,,,,
BULLISHUSDT,0,43164,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
BULLSUSDT,0,43164,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-01-19,,,,,,,,,,,,,,,,,,,,,,,
BULLUSDT,0,43166,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2026-04-13,,,,,,,,,,,,,,,,,,,,,,,
BUTTCOINUSDT,0,43163,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2026-01-15,,,,,,,,,,,,,,,,,,,,,,,
CAPUSDT,916,43161,MIXED/UNSTABLE,NoTrade,,,1.0,1.0,2023-12-18,-0.001174024605135931,0.11018854975946119,1.223199734487861,12.008329215432624,-97.23598901545311,0.1960061529785705,0.15116467897633665,133.7257453857075,-43.96363636363636,1060407.5606441048,0.08253902838427947,-0.07790615450307742,27.0,0.48148148148148145,1.3292513339880012,-82.5906127439387,0.06130395530098774,0.2117524270540944,78.0,-3.600838599069485,0.5512820512820513,-1.8342845258452407,False
CATCOINUSDT,809,43160,MIXED/UNSTABLE,NoTrade,,,1.0,1.0,2024-04-03,-0.004500398766553544,0.07321224231521756,1.2110752683135724,9.07178978451897,-97.5548060708263,1.1419725000726988,0.7115799285852215,70.08980866848884,-29.074185162967403,878921616317331.5,1.8674943139678615e-10,0.14921358922143718,36.0,0.6111111111111112,-1.214742508118349,-164.04354929652484,-0.04778703455851584,0.10360910589447955,46.0,0.1260185824348353,0.6304347826086957,0.04161777315415453,False
CATIUSDT,639,43198,GRIND_DOWN_EDGE,GrindShortDaily,-44.84,44.84,1.0,1.5,,-0.004172177728290175,0.06185566679872625,-0.26648283860699973,4.969327081657825,-95.96928140427866,1.2121131135057897,0.6732333966462736,36.16149795201873,-26.29656683710737,7972617.436040687,0.15609467918622846,0.30395425889340266,34.0,0.6176470588235294,4.120833819795735,-47.0280819366853,0.23205360824025079,0.08915988518699797,38.0,-2.7546008376414286,0.5263157894736842,-1.194338915581693,False
CATUSDT,668,43161,MIXED/UNSTABLE,NoTrade,,,1.0,1.0,2024-08-22,-0.003793748212582458,0.07709582420043719,0.6786918313412662,4.778721100688341,-97.78032364313333,0.8532949896606881,0.5758691896632955,50.85714285714287,-29.551907171954074,52154299132.3518,1.2229104790419161e-05,0.20055103789234394,17.0,0.5294117647058824,-1.142504458142968,-45.129790974373485,-0.07298308140098134,0.28757693671294615,48.0,-5.8420269426049956,0.6666666666666666,-3.6184425889724543,True
CAUSDT,976,43162,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2023-10-19,0.00018954324019201016,0.05014218478995462,1.0544979366403007,21.836806401094595,-83.94643262465007,0.21142579013142476,0.2827386505532129,71.26317965681208,-26.418635460366534,277565.89092213113,0.46886426229508193,0.10468888190131907,,,,,,,81.0,5.47076848859592,0.4567901234567901,2.3472178976656983,False
CAWUSDT,1095,43160,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2022-04-19,-0.0005096843880209314,0.05384250581590442,0.6218219163879323,5.23931529425011,-85.6651127884657,1.0279352524366125,0.6118150177571595,50.02246938546231,-24.997474346577388,3417484028877.024,5.885382465753425e-08,0.38858489782255307,,,,,,,92.0,1.3828077193107595,0.44565217391304346,0.9201041258421236,True
CHEEMSUSDT,605,43159,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2024-10-24,0.0009983593414255906,0.07428613596499072,0.576583663194361,9.348308708128226,-80.55014605647517,0.898408229484952,0.5963455415630051,73.72991749891446,-36.0018639328984,436008374562.92395,9.974543801652895e-07,0.43148193142594277,,,,,,,45.0,-0.16524691978749104,0.5777777777777777,-0.057758927233536934,True
CHILLGUYUSDT,0,43159,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2024-11-20,,,,,,,,,,,,,,,,,,,,,,,
CHIPUSDT,0,43158,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2026-04-21,,,,,,,,,,,,,,,,,,,,,,,
CITYUSDT,1095,43157,MIXED/UNSTABLE,NoTrade,,,1.0,1.0,2022-08-20,-0.0018613816855116536,0.032411714238706736,-0.4426144092597899,7.164887522058201,-90.81647574945163,0.49572572034633505,0.28427452750577203,19.55017301038062,-22.584292763157897,207823.57417351598,1.8338352511415525,0.34407756252408056,56.0,0.5535714285714286,0.0570746620808308,-58.15217630646778,0.005959798293311666,0.10666039021918079,70.0,0.37640896059037793,0.4857142857142857,0.4340675311515123,False
CLANKERUSDT,0,43157,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2024-11-27,,,,,,,,,,,,,,,,,,,,,,,
CLASHUSDT,0,43156,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
CLOUDUSDT,659,43155,MIXED/UNSTABLE,NoTrade,,,1.0,1.0,2024-08-31,-0.004408631816861064,0.06616830581223615,1.3011898635859924,8.917342762412627,-97.923276141146,0.877577017303619,0.3752001686733337,67.20837043633124,-24.59943449575872,1031415.0961305007,0.13487182094081943,-0.015484864472361162,27.0,0.6296296296296297,-2.225405966699667,-98.76207209116455,-0.09863971277995429,0.15599546702476055,42.0,0.6609325590716764,0.6428571428571429,0.24331494424804012,True
COOKUSDT,600,43155,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2024-10-29,-0.0034912382166742144,0.06045299852145677,0.7294697888013849,6.455162197362974,-93.1857161141687,0.12830013783431302,0.12714914594117166,38.33657669853625,-24.69760990871851,12526613.036116667,0.010571898333333331,-0.21903513407258376,,,,,,,31.0,-0.4399139746638587,0.45161290322580644,-0.1326234006351816,True
COQUSDT,814,43154,MIXED/UNSTABLE,NoTrade,,,1.0,1.0,2024-03-29,-0.005033170882124956,0.07457997707904335,0.6636948441976863,3.3120038040032798,-98.65219810795772,1.4411055633183818,1.4995933938518886,45.27080372651191,-33.77613240418119,222421654197.59708,9.699279606879606e-07,0.08375053336792095,22.0,0.6818181818181818,0.4958356178826642,-81.8696686748456,0.02890291561322038,0.15582981109855246,54.0,-4.645683443086982,0.6481481481481481,-2.4023615179555264,True
CORNUSDT,0,43153,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-03-28,,,,,,,,,,,,,,,,,,,,,,,
COWUSDT,0,43153,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2024-11-06,,,,,,,,,,,,,,,,,,,,,,,
CREPEUSDT,969,43152,MIXED/UNSTABLE,NoTrade,,,1.0,1.0,2023-10-26,-0.005870163863888361,0.12323548441159249,0.7482700636298801,17.908979095743135,-99.87535834475881,0.29353178016465814,0.1665873273970228,201.28205128205127,-60.952380952380956,17124497.752383903,0.008766687512899897,-0.014830940336678929,27.0,0.48148148148148145,-4.32257417648477,-169.99297683037588,-0.1381047721238874,0.22221101707382085,70.0,-6.251435545670929,0.6857142857142857,-1.8030156278854863,False
CUSDT,0,43163,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-07-14,,,,,,,,,,,,,,,,,,,,,,,
DADDYUSDT,736,43152,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2024-06-15,-0.003837572925824903,0.0723615223232518,0.9335535170608311,5.390549403098621,-97.63649425287356,1.0800855843301607,1.013168439890809,51.288941972728175,-26.802884615384603,5136539.191399456,0.046154697010869564,0.2008554993370869,,,,,,,44.0,1.2771958005547643,0.6666666666666666,0.29867225787497115,True
DAMUSDT,0,43151,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-08-18,,,,,,,,,,,,,,,,,,,,,,,
DEGENUSDT,817,43150,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2024-03-26,-0.0028480701670020015,0.09503349024292568,1.7469259372392898,9.76579917761444,-98.893531911854,2.4528927717096005,1.249187115818695,112.73512963904425,-27.33284349742836,34816458.26208079,0.006504651774785802,0.030013096774505754,,,,,,,65.0,0.9204667031126506,0.6153846153846154,0.2850996842560475,False
DINGOUSDT,816,43150,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2024-03-27,-0.00018259415229393723,0.07661877132911378,1.086549738490817,10.823670418016507,-95.39393939393939,1.424560595528953,0.7526613158289319,72.35376044568244,-31.032125768967877,1267567047.5468137,2.525796568627451e-05,0.0645296235461762,,,,,,,91.0,26.06288012414917,0.31868131868131866,4.310169260877034,True
DJI6930USDT,0,43149,INSUFFICIENT_HISTORY,NoTrade,,,1.0,1.0,2025-07-29,,,,,,,,,,,,,,,,,,,,,,,
DODOUSDT,1095,43149,NO_CLEAR_SHORT_EDGE,NoTrade,,,1.0,1.0,2020-10-12,-0.0016618766191336205,0.05444054661018851,-0.1620472031075793,6.96126644100374,-95.77616187164085,1.3568107274437633,0.7419183461742314,37.348178137651814,-34.727085478887744,8374826.319452054,0.09464036529680364,0.09653016603413961,,,,,,,96.0,-1.1147930560626451,0.5520833333333334,-0.8911582711801144,True
